,attendance,away_conference,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,home_conference,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,venue,venue_id,week,capacity,city,country_code,dome,elevation,grass,location,name,state,year_constructed,zip,rain,max_temp,min_temp,attendance_percentage,home_team_ranked_ind,away_team_ranked_ind
53,8223.0,Mid-American,"[0, 13, 0, 6]",19,0.4320121011949465,Miami (OH),True,Mid-American,"[5, 10, 7, 7]",29,0.5679878988050535,Akron,400548130,False,2014,regular,2014-10-11,Summa Field at InfoCision Stadium,3768.0,7,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,27.41,0,0
54,10348.0,Mid-American,"[3, 3, 14, 7]",27,0.7717694563480705,Bowling Green,True,Mid-American,"[0, 3, 0, 7]",10,0.22823054365192955,Akron,400548147,False,2014,regular,2014-11-04,Summa Field at InfoCision Stadium,3768.0,11,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,34.49333333333333,0,0
55,5571.0,Mid-American,"[0, 0, 6, 0]",6,0.0012640880006901112,UMass,True,Mid-American,"[10, 10, 7, 3]",30,0.9987359119993099,Akron,400548158,False,2014,regular,2014-11-18,Summa Field at InfoCision Stadium,3768.0,13,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,18.57,0,0
56,23425.0,ACC,"[3, 7, 7, 7]",24,0.8603732698257995,Pittsburgh,False,Mid-American,"[0, 7, 0, 0]",7,0.1396267301742005,Akron,400756915,False,2015,regular,2015-09-12,Summa Field at InfoCision Stadium,3768.0,2,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,78.08333333333334,0,0
57,16763.0,,"[3, 6, 0, 0]",9,0.00013292136311915392,Savannah State,False,Mid-American,"[7, 21, 10, 14]",52,0.9998670786368808,Akron,400787310,False,2015,regular,2015-09-19,Summa Field at InfoCision Stadium,3768.0,3,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,55.876666666666665,0,0
58,17301.0,Mid-American,"[7, 7, 0, 0]",14,0.41789222034225193,Ohio,True,Mid-American,"[3, 3, 3, 3]",12,0.5821077796577481,Akron,400787316,False,2015,regular,2015-10-03,Summa Field at InfoCision Stadium,3768.0,5,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,57.67,0,0
59,18981.0,Mid-American,"[0, 7, 7, 0]",14,0.8787939447277582,Central Michigan,True,Mid-American,"[0, 6, 0, 0]",6,0.12120605527224179,Akron,400787341,False,2015,regular,2015-10-31,Summa Field at InfoCision Stadium,3768.0,9,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,63.27,0,0
60,15727.0,Mid-American,"[0, 14, 0, 7]",21,0.0025889486317013377,Buffalo,True,Mid-American,"[14, 14, 7, 7]",42,0.9974110513682987,Akron,400787360,False,2015,regular,2015-11-21,Summa Field at InfoCision Stadium,3768.0,12,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,52.42333333333333,0,0
61,16391.0,Mid-American,"[0, 0, 0, 0]",0,0.00029692588389296226,Kent State,True,Mid-American,"[7, 7, 3, 3]",20,0.999703074116107,Akron,400787366,False,2015,regular,2015-11-27,Summa Field at InfoCision Stadium,3768.0,13,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,54.63666666666667,0,0
62,11061.0,,"[7, 3, 14, 0]",24,0.00018332452312974645,VMI,False,Mid-American,"[12, 7, 7, 21]",47,0.9998166754768703,Akron,400869266,False,2016,regular,2016-09-03,Summa Field at InfoCision Stadium,3768.0,1,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,36.870000000000005,0,0
